data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2021-01-01,Moderna,FVG,20-29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-01,Moderna,FVG,30-39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-01,Moderna,FVG,40-49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-01,Moderna,LAZ,20-29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Moderna,LAZ,30-39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,CAM,20-29,27.0,49.0,76.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-01,Pfizer/BioNTech,CAM,30-39,92.0,97.0,188.0,0.0,1.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-01,Pfizer/BioNTech,CAM,40-49,102.0,110.0,210.0,0.0,2.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-01,Pfizer/BioNTech,CAM,50-59,156.0,114.0,270.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-01,Pfizer/BioNTech,CAM,60-69,129.0,43.0,171.0,0.0,1.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2021-01-01,Pfizer/BioNTech,FVG,60-69,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH4,6.0,Friuli-Venezia Giulia
2021-01-01,Pfizer/BioNTech,LAZ,12-19,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,20-29,56.0,210.0,266.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,30-39,230.0,369.0,599.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,40-49,269.0,572.0,841.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,50-59,442.0,690.0,1131.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,60-69,355.0,341.0,696.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,70-79,41.0,18.0,59.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,80-89,8.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LAZ,90+,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2021-01-01,Pfizer/BioNTech,LIG,20-29,6.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-01,Pfizer/BioNTech,LIG,30-39,9.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-01,Pfizer/BioNTech,LIG,40-49,14.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-01,Pfizer/BioNTech,LIG,50-59,17.0,44.0,61.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-01,Pfizer/BioNTech,LIG,60-69,10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-01,Pfizer/BioNTech,LOM,20-29,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-01,Pfizer/BioNTech,LOM,30-39,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-01,Pfizer/BioNTech,LOM,40-49,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-01,Pfizer/BioNTech,LOM,50-59,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-01,Pfizer/BioNTech,LOM,60-69,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-01,Pfizer/BioNTech,LOM,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-01,Pfizer/BioNTech,PAB,30-39,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-01,Pfizer/BioNTech,PAB,50-59,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-01,Pfizer/BioNTech,PAT,20-29,5.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PAT,30-39,8.0,11.0,18.0,0.0,1.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PAT,40-49,7.0,42.0,49.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PAT,50-59,6.0,35.0,41.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PAT,60-69,9.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PAT,70-79,4.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PAT,80-89,10.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PAT,90+,3.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-01,Pfizer/BioNTech,PIE,20-29,35.0,69.0,103.0,0.0,1.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2021-01-01,Pfizer/BioNTech,PIE,30-39,81.0,111.0,192.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2021-01-01,Pfizer/BioNTech,PIE,40-49,81.0,140.0,221.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2021-01-01,Pfizer/BioNTech,PIE,50-59,116.0,269.0,384.0,0.0,1.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2021-01-01,Pfizer/BioNTech,PIE,60-69,87.0,80.0,167.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2021-01-01,Pfizer/BioNTech,PIE,70-79,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
2021-01-01,Pfizer/BioNTech,PUG,20-29,4.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2021-01-01,Pfizer/BioNTech,PUG,30-39,16.0,23.0,39.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2021-01-01,Pfizer/BioNTech,PUG,40-49,11.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2021-01-01,Pfizer/BioNTech,PUG,50-59,17.0,17.0,34.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2021-01-01,Pfizer/BioNTech,PUG,60-69,13.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF4,16.0,Puglia
2021-01-01,Pfizer/BioNTech,SAR,30-39,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SAR,40-49,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SAR,50-59,3.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SAR,60-69,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2021-01-01,Pfizer/BioNTech,SIC,20-29,67.0,80.0,147.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,30-39,85.0,96.0,181.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,40-49,99.0,87.0,186.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,50-59,102.0,95.0,197.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,60-69,93.0,44.0,137.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,SIC,70-79,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2021-01-01,Pfizer/BioNTech,TOS,20-29,50.0,124.0,174.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,30-39,133.0,243.0,375.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,40-49,133.0,283.0,416.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
2021-01-01,Pfizer/BioNTech,TOS,50-59,187.0,352.0,539.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI1,9.0,Toscana
